camID,Developed1500,Forest1500,OpenHabitat1500,Developed1000,Forest1000,OpenHabitat1000,Developed500,Forest500,OpenHabitat500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams,WTD SUM,SQ SUM,HARE SUM
AEPC1,740,5600,1246,423,2373,644,133,672,62,0.807743788,1.041471362,1.164756536,25649.14552,16074.3565,2948.365027,25649.14552,16074.3565,2948.365027,440.1699829,0,266,79,22
AEPC10,682,6144,598,306,2900,64,106,699,10,0.704730988,0.871293724,0.818612039,13721.74177,5562.999027,1456.54308,2672.843264,0,0,4447.677734,538.5164795,105,6,0
AEPC11,609,6754,168,340,2970,33,112,727,3,0.460750461,0.846020222,0.819607556,13845.53358,8587.455009,4991.541942,560.315069,0,0,4861.836426,700,175,143,0
AEPC12,675,5650,1163,271,2410,610,88,466,272,1.363756537,1.455348969,1.276866078,17444.23174,8693.150461,3352.264572,10597.70209,6779.278778,3352.264572,139.1939697,200,155,22,0
AEPC13,665,4699,1348,332,2295,560,112,548,209,1.237166047,1.074470639,1.08968389,26067.54002,16361.32294,6761.724951,12998.43952,7410.31881,3853.339391,295.2749939,300,311,269,81
AEPC14,629,5917,1102,244,2618,572,91,744,26,0.432485998,0.735012531,0.942263484,21477.86199,6982.849489,3389.627776,21477.86199,6982.849489,3389.627776,295.2749939,100,79,33,6
AEPC15,594,5980,981,341,2416,605,136,571,148,1.196005106,1.429754257,1.378818512,15051.58621,9355.378401,3579.284215,10914.95783,7160.443205,3250.344804,840.9435425,1216.55249,73,100,21
AEPC16,492,6976,104,157,3180,23,65,803,0,0.508190095,0.48930648,0.625276327,16226.84954,6599.225006,3091.603785,15846.70964,6599.225006,3091.603785,393.7000122,223.6067963,223,242,81
AEPC17,613,6775,112,373,2861,49,84,699,0,0.922008455,0.837038219,0.845645487,17794.63892,10066.59798,3157.93401,10431.52279,6920.478112,3157.93401,405.8166809,316.2277527,174,23,18
AEPC18,573,7014,0,320,3063,0,92,761,0,0.633108139,0.6082533,0.604277432,10195.52421,6683.508546,3109.236076,10195.52421,6683.508546,3109.236076,311.2471924,632.4555054,266,126,0
AEPC19,370,7122,355,183,3209,97,39,796,38,0.7142874,0.373702496,0.353394568,26012.85067,12025.62515,3434.271459,7965.90976,3370.475042,0,2297.754883,400,486,84,0
AEPC20,355,6578,816,99,3021,349,37,673,161,0.828701198,0.660283566,0.612654328,13643.13413,8768.785607,3516.391008,0,0,0,5754.286133,200,187,4,10
AEPC21,369,6954,408,146,2980,352,51,700,122,0.974025607,0.680345714,0.645604908,17987.09004,10044.39551,3609.481929,0,0,0,7227.371094,707.1068115,43,47,133
AEPC3,524,5990,1052,277,2609,497,124,596,138,1.444043398,1.511881828,1.465849876,21700.44458,13473.60318,6441.806356,21700.44458,13473.60318,6441.806356,417.5819092,360.5551147,165,57,18
AEPC4,497,6698,569,133,2913,404,21,664,185,0.659084439,0.721606255,0.721490085,26130.48892,9503.680054,2155.887018,9096.620275,651.8336212,0,3204.48584,509.901947,151,65,6
AEPC5,432,6202,752,171,2994,143,60,807,6,0.401466072,0.545065522,0.706644654,23187.81571,7965.098999,3173.323372,1693.254964,0,0,4700.759766,100,214,63,1
AEPC6,398,6357,809,195,3133,160,89,749,32,0.707278013,0.865043104,0.681069314,15527.15331,7399.747986,3315.770471,0,0,0,6163.95166,360.5551147,117,156,7
AEPC7,348,6826,507,150,3120,214,21,802,50,0.226957649,0.433669865,0.489359707,14163.07661,9760.026746,2661.610784,0,0,0,5023.533203,984.8858032,342,1291,0
AEPC8,463,5996,838,202,2798,356,75,703,95,0.283489555,0.891446292,1.098001957,21025.38547,8177.028453,2883.208718,15674.97542,7409.057199,2883.208718,1082.675049,632.4555054,97,1004,0
AEPC9,546,6156,510,268,2696,295,100,609,88,1.388198376,1.080661416,1.134082437,20744.02228,11831.46973,4965.619955,11862.73653,6680.35655,3243.72295,440.1699829,100,271,165,58
VC42,440,7223,174,235,3232,20,58,812,0,0.389750361,0.333314717,0.341163844,19446.79253,8929.768494,0,567.5677298,0,0,4841.869629,0,116,82,9
VC43,529,6662,644,195,2907,377,37,757,79,0.645362079,0.804999352,0.769248664,34086.81948,16651.52506,3686.695776,7790.053218,1687.281781,0,3052.762207,500,122,686,0
VC44,451,6208,999,205,2825,430,50,775,50,0.447864681,0.784651935,0.818465173,19630.22999,9140.5994,803.8831924,8413.752082,4458.330271,0,1870.074951,583.0952148,189,164,5
VC45,244,7501,72,123,3309,43,27,839,9,0.150392294,0.223624334,0.355580896,10240.45998,1683.171029,0,0,0,0,9975.945313,1000,153,140,1
VC46,425,7097,318,246,3155,82,61,789,23,0.673835158,0.626829803,0.51914835,16500.5571,9663.568541,3182.757101,0,0,0,10713.86719,300,93,129,1
VC47,399,7143,277,173,3201,113,41,780,51,0.849264503,0.80631268,0.720490515,27931.99612,16691.40073,6489.952283,0,0,0,9547.732422,824.6211548,146,273,72
VC48,257,7245,336,125,3236,127,41,745,85,0.975519657,0.534709394,0.401786357,24864.96711,17141.1518,8340.403999,0,0,0,8211.854492,640.312439,92,249,228
VC49,83,7664,93,17,3450,22,0,871,0,0.506105065,0.255464077,0.195944056,18644.65857,3335.317331,0,0,0,0,7087.283691,447.2135925,121,70,5
VC50,549,6733,442,191,3009,277,26,793,50,0.341083497,0.56542927,0.710589051,36073.81326,13946.09236,2114.118303,4376.177213,0,0,4226.548828,1476.4823,200,492,0
VC51,283,7039,445,151,3064,212,42,763,56,0.476713717,0.677150548,0.56646347,35137.068,16515.03643,3377.925491,0,0,0,13144.06836,447.2135925,53,102,1
ZC22,443,6166,600,219,2850,158,95,779,0,0.465999246,0.323263288,0.73430723,34021.2968,17117.96196,9047.982353,3331.529256,0,0,4227.694824,538.5164795,84,1183,5
ZC23,261,7543,43,39,3444,5,0,873,0,0,0.029298797,0.068134092,19884.87067,4398.763746,0,6783.874826,0,0,3833.52417,583.0952148,65,1401,9
ZC24,462,7301,19,302,3174,0,109,765,0,0.277754068,0.432779998,0.489614129,32833.5886,21321.73702,7953.06775,10509.46569,7157.554505,3188.553039,928.5396118,1000,12,385,0
ZC25,482,7176,188,243,3164,83,53,820,0,0.367166698,0.291205794,0.381049752,34203.05734,17196.62467,3067.510861,0,0,0,6250.568848,1200,94,137,0
ZC26,566,6884,387,164,3321,8,34,840,0,0.452625096,0.461686134,0.487493545,38607.91597,15965.82199,3645.807366,9478.72061,0,0,3609.662354,500,46,1163,4
ZC27,246,7429,96,133,3211,59,62,752,14,0.674473941,0.590549052,0.44041568,22412.77802,12830.31215,5801.268853,0,0,0,5652.37207,360.5551147,91,1058,14
ZC28,374,6751,679,153,3222,111,32,839,0,0.375086188,0.343900651,0.462536991,33912.38749,15075.0261,3161.92465,0,0,0,6016.819336,806.225769,92,167,24
ZC29,195,7608,40,65,3425,1,19,852,0,0.16173631,0.087930419,0.062891923,7023.148922,1741.212603,0,7023.148922,1741.212603,0,2967.477051,447.2135925,92,94,1
ZC30,462,6411,290,111,3054,9,61,811,0,0.25157544,0.236116678,0.406544894,24992.74112,9833.540979,6227.818272,6551.061083,0,0,3849.915039,538.5164795,13,29,0
ZC31,394,7441,14,104,3370,14,35,823,14,0.223718077,0.213527501,0.14311415,30770.2236,10822.28501,3523.767937,7835.426539,0,0,3641.725098,412.3105774,116,431,1
ZC32,440,6717,309,274,2885,103,122,685,62,0.971777976,0.961488247,0.744076669,14688.52061,9333.775624,2606.943354,10655.61052,7020.617891,2606.943354,1320.509888,223.6067963,56,418,0
ZC33,1008,6284,180,223,2991,27,27,847,0,0,0.224326268,0.54437232,49125.26875,17136.9327,1985.351044,11019.94834,1042.068228,0,3248.024902,728.0109863,255,295,1
ZC34,374,7263,193,152,3222,115,35,805,32,0.619614482,0.612788677,0.573396564,38679.29609,15639.1846,3554.065669,0,0,0,8356.276367,848.5281372,87,177,0
ZC35,418,7281,110,197,3217,46,32,828,13,0.13868928,0.308817238,0.361505896,33450.68221,18208.45898,3646.951335,3174.024092,0,0,4204.717773,721.1102295,178,165,0
ZC36,330,7206,163,141,3282,32,49,827,0,0.63999176,0.463581711,0.460403204,30955.36941,13439.90242,4907.022985,0,0,0,5216.524902,141.4213562,229,9,0
ZC37,363,7292,193,103,3274,108,33,822,14,0.329173028,0.308310956,0.423328072,33587.09263,10518.12814,3148.606099,0,0,0,9872.473633,538.5164795,109,0,0
ZC38,342,7373,100,159,3285,39,46,828,0,0.70006299,0.694047391,0.664285898,40150.1663,15620.45527,4429.77392,0,0,0,12490.67188,806.225769,137,301,0
ZC39,295,7452,33,151,3292,23,68,789,16,0.431740135,0.458799809,0.379856437,33990.80602,15318.25093,6027.533939,0,0,0,9048.678711,632.4555054,331,353,4
ZC40,236,7504,36,123,3324,22,46,800,18,0.242488042,0.369738251,0.318696618,30727.4471,16141.18596,6303.246285,0,0,0,11832.71582,707.1068115,123,210,0
ZC41,226,7547,25,115,3337,18,38,836,0,0.269200653,0.169226095,0.177945599,27986.4912,13477.03893,3266.476362,0,0,0,5081.056641,360.5551147,217,425,1